,First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations,max_cite,pub_div,recent_3,academic_age,h_index
115,U. Rajendra,Acharya,7004510847,740,20198,18,953,85,0,Computer Science,"Ngee Ann Polytechnic, Singapore","Singapore University of Social Sciences (SUSS), Singapore",1625.0,175,178,44,101
116,Ian F.,Akyildiz,35838511900,586,59022,20,351,32,6,Computer Science,"Georgia Institute of Technology, United States",,13045.0,154,45,37,106
117,Fuad E.,Alsaadi,23566767000,427,9401,0,435,52,0,Computer Science,"King Abdulaziz University, Saudi Arabia",,1540.0,118,94,15,61
118,Jeffrey G.,Andrews,55627508700,404,25445,42,222,21,4,Computer Science,"University of Texas Austin, United States",,5771.0,77,31,29,85
119,Yuri,Bazilevs,8582816900,219,8104,6,235,21,4,Computer Science,"Brown University, United States",,3876.0,65,26,17,71
120,Stephane P. A.,Bordas,57517338500,13,21,27,49,1,0,Computer Science,"University of Luxembourg, Luxembourg","Cardiff University, United Kingdom",7.0,12,13,2,3
121,Rajkumar,Buyya,57194845546,777,40357,56,871,74,0,Computer Science,"University of Melbourne, Australia",,7191.0,266,89,23,109
122,Giuseppe,Caire,7004399543,620,17986,141,433,50,4,Computer Science,"University of Southern California, United States","Technical University of Berlin, Germany",2122.0,160,95,31,66
123,Jinde,Cao,7403354075,1594,23539,12,1093,100,0,Computer Science,"Southeast University - China, China Mainland",,615.0,236,435,29,121
124,C. L. Philip,Chen,57217604244,324,2640,12,485,68,0,Computer Science,"South China University of Technology, China Mainland","University of Macau, Macau",168.0,82,247,29,31
125,Min,Chen,25821032200,414,17068,1,562,74,0,Computer Science,"Huazhong University of Science & Technology, China Mainland",,1905.0,165,32,19,73
126,Xiaofeng,Chen,35721744700,304,5359,4,295,35,0,Computer Science,"Xidian University, China Mainland",,375.0,106,40,20,49
127,Xiao-hong,Chen,56888182800,469,13694,0,464,89,0,Computer Science,"Central South University, China Mainland",,463.0,204,27,27,75
128,Francisco,Chiclana,9134178600,268,6752,1,401,36,0,Computer Science,"University of Granada, Spain","De Montfort University, United Kingdom",777.0,87,64,31,63
129,Merouane,Debbah,35588784300,643,20083,119,577,54,0,Computer Science,"Universite Paris Saclay, France","Huawei France Research Center, France",1758.0,190,71,22,84
130,Zhiguo,Ding,8335376300,643,13148,128,681,37,0,Computer Science,"University of Manchester, United Kingdom",,1397.0,123,168,18,80
131,Mianxiong,Dong,25822274100,358,6274,6,520,90,0,Computer Science,"Muroran Institute of Technology, Japan",,784.0,160,98,15,46
132,Yucheng,Dong,23392045600,205,4040,3,150,14,0,Computer Science,"Sichuan University, China Mainland",,346.0,80,65,18,54
133,Maged,Elkashlan,6602911293,229,7700,37,160,24,0,Computer Science,"University of London, United Kingdom",,1156.0,56,23,20,52
134,John A.,Evans,55724920400,66,2298,25,94,11,4,Computer Science,"University of Colorado Boulder, United States",,775.0,28,17,13,25
135,Salvador,Garcia,37103985200,178,13898,16,134,23,0,Computer Science,"University of Granada, Spain",,2868.0,75,32,16,51
136,Amitava,Ghosh,56574597500,133,5726,11,183,12,0,Computer Science,"Nokia Corporation, Finland",,768.0,46,10,30,35
137,Qing-Long,Han,7202485252,585,15772,2,341,47,0,Computer Science,"Swinburne University of Technology, Australia",,1083.0,117,154,32,101
138,Zhu,Han,55767186700,1339,28308,135,1293,100,15,Computer Science,"University of Houston System, United States",,1741.0,249,369,21,96
139,Lajos,Hanzo,36043733600,1787,24732,130,1102,100,0,Computer Science,"University of Southampton, United Kingdom",,1030.0,155,241,37,85
140,Debiao,He,35603655700,288,6304,1,260,37,0,Computer Science,"Wuhan University, China Mainland",,473.0,119,93,16,55
141,Robert W.,Heath,55934670700,803,27333,84,496,53,12,Computer Science,"University of Texas Austin, United States","University of Texas System, United States",2576.0,162,60,26,103
142,Francisco,Herrera,7102347190,724,36958,5,469,58,0,Computer Science,"University of Granada, Spain",,2868.0,153,18,30,126
143,Enrique,Herrera-Viedma,7004240703,629,13803,9,708,81,0,Computer Science,"University of Granada, Spain",,1334.0,158,163,27,92
144,Ekram,Hossain,6701362398,493,18413,71,313,44,0,Computer Science,"University of Manitoba, Canada",,799.0,103,50,23,84
145,Guang-Bin,Huang,7403425167,192,19055,0,263,30,0,Computer Science,"Nanyang Technological University, Singapore",,9026.0,86,1,25,64
146,Kaibin,Huang,15834779200,207,7275,67,179,27,0,Computer Science,"University of Hong Kong, Hong Kong",,2109.0,60,59,19,39
147,Tingwen,Huang,8868586900,762,13765,8,653,84,0,Computer Science,"Texas A&M University Qatar, Qatar",,418.0,158,217,22,78
148,Thomas J. R.,Hughes,55911870000,410,29864,12,320,16,4,Computer Science,"University of Texas System, United States",,4088.0,116,28,52,124
149,Yaochu,Jin,57201346599,457,11184,34,445,50,0,Computer Science,"University of Surrey, United Kingdom",,1232.0,146,117,28,67
150,Dervis,Karaboga,6701575189,117,13224,0,58,11,0,Computer Science,"King Abdulaziz University, Saudi Arabia","Erciyes University, Turkey",5020.0,67,14,29,44
151,Nei,Kato,7403474407,497,10378,3,391,64,0,Computer Science,"Tohoku University, Japan",,490.0,146,72,26,64
152,Ioannis,Krikidis,6508343836,260,6396,41,193,24,0,Computer Science,"University of Cyprus, Cyprus",,639.0,102,69,19,40
153,Neeraj,Kumar,57206866080,781,12667,10,952,100,0,Computer Science,"King Abdulaziz University, Saudi Arabia","Thapar University, India",347.0,224,390,28,77
154,Erik G.,Larsson,35555550500,496,17374,111,364,30,0,Computer Science,"Linkoping University, Sweden",,4374.0,107,70,22,66
155,Victor C. M.,Leung,7102336029,1516,26290,63,1368,100,0,Computer Science,"Shenzhen University, China Mainland","University of British Columbia, Canada",1070.0,429,182,40,86
156,Geoffrey Ye,Li,57195633181,503,23992,0,343,41,0,Computer Science,"Georgia Institute of Technology, United States","University System of Georgia, United States",1740.0,88,0,30,87
157,Hongyi,Li,57193390538,228,9824,0,211,24,0,Computer Science,"Guangdong University of Technology, China Mainland",,603.0,76,61,14,72
158,Jin,Li,57202722689,129,3358,6,233,22,0,Computer Science,"Guangzhou University, China Mainland",,681.0,62,57,17,24
159,Xiong,Li,36509118600,189,3756,1,283,44,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland","Hunan University of Science & Technology, China Mainland",235.0,80,43,11,45
160,Xuelong,Li,55936260100,867,28080,9,985,100,0,Computer Science,"Northwestern Polytechnical University, China Mainland",,1011.0,165,133,20,103
161,Yong,Li,57189401839,499,8250,52,534,68,0,Computer Science,"Tsinghua University, China Mainland",,723.0,186,126,26,48
162,Yongming,Li,26642926400,256,6822,0,75,9,0,Computer Science,"Liaoning University of Technology, China Mainland",,505.0,74,62,15,65
163,Ying-Chang,Liang,36071330300,580,17277,1,406,57,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",,2489.0,119,35,29,80
164,Huchang,Liao,55580964700,301,5107,0,224,33,0,Computer Science,"Sichuan University, China Mainland",,467.0,85,146,9,56
165,Derong,Liu,55857948600,620,8378,0,301,15,0,Computer Science,"Guangdong University of Technology, China Mainland",,662.0,168,64,30,72
166,Peide,Liu,35388763600,374,4935,3,233,17,0,Computer Science,"Shandong University of Finance & Economics, China Mainland",,379.0,100,106,16,58
167,Yan-Jun,Liu,57196028633,202,6377,1,154,12,0,Computer Science,"Liaoning University of Technology, China Mainland",,562.0,73,60,16,57
168,Yurong,Liu,36062331200,223,9161,0,225,31,0,Computer Science,"Yangzhou University, China Mainland",,1540.0,56,35,22,61
169,Wenjing,Lou,7006030576,294,14067,5,181,44,14,Computer Science,"Virginia Polytechnic Institute & State University, United States",,1213.0,102,34,25,66
170,Luis,Martinez,56215039400,339,8097,0,239,28,0,Computer Science,"Universidad de Jaen, Spain","Ulster University, United Kingdom",2130.0,99,81,24,54
171,Thomas L.,Marzetta,7003696826,150,16412,19,153,6,0,Computer Science,"Alcatel-Lucent, France","AT&T, United States; Nokia Bell Labs, United States; Nokia Corporation, Finland",4525.0,50,14,43,44
172,Jose M.,Merigo,23482135100,387,4816,1,297,46,0,Computer Science,"University of Technology Sydney, Australia","Universidad de Chile, Chile",381.0,154,78,15,56
173,Seyedali,Mirjalili,51461922300,327,19206,12,493,42,0,Computer Science,"Torrens University Australia, Australia","Griffith University, Australia",6722.0,110,214,12,65
174,Andreas F.,Molisch,7006594890,657,23467,72,675,34,16,Computer Science,"University of Southern California, United States",,1697.0,191,74,30,85
175,Derrick Wing Kwan,Ng,35756277000,311,8054,53,343,37,0,Computer Science,"University of New South Wales Sydney, Australia",,639.0,81,113,15,56
176,Hung,Nguyen-Xuan,24503383800,267,5404,5,230,37,0,Computer Science,"China Medical University Taiwan, Taiwan","HUTECH University of Technology, Vietnam",566.0,80,84,14,67
177,Dusit,Niyato,8919714700,778,22940,197,716,92,0,Computer Science,"Nanyang Technological University, Singapore","Nanyang Technological University & National Institute of Education (NIE) Singapore, Singapore",1741.0,163,278,21,86
178,Kaoru,Ota,23467341400,262,5604,3,315,74,0,Computer Science,"Muroran Institute of Technology, Japan",,784.0,113,62,15,45
179,Ju H.,Park,15036553900,694,14111,0,328,54,0,Computer Science,"Yeungnam University, South Korea",,380.0,118,40,26,86
180,Mugen,Peng,7202484665,485,7610,17,417,34,0,Computer Science,"Beijing University of Posts & Telecommunications, China Mainland",,979.0,144,54,19,44
181,H. Vincent,Poor,55665272100,2096,51308,328,1393,100,13,Computer Science,"Princeton University, United States",,1697.0,386,408,30,125
182,Tony Q. S.,Quek,55362784200,593,10288,91,551,82,0,Computer Science,"Singapore University of Technology & Design, Singapore",,827.0,144,174,23,54
183,Timon,Rabczuk,56502462200,677,14683,94,655,100,0,Computer Science,"King Saud University, Saudi Arabia",,1023.0,194,168,19,100
184,Kui,Ren,8396435500,363,15052,33,555,67,7,Computer Science,"Zhejiang University, China Mainland",,1213.0,133,75,19,70
185,Robert,Schober,7004473639,895,19960,184,503,47,0,Computer Science,"University of Erlangen Nuremberg, Germany",,2094.0,160,106,24,80
186,Michael A.,Scott,9942259800,55,2987,4,85,0,0,Computer Science,"Brigham Young University, United States",,872.0,21,8,17,26
187,Ling,Shao,55643855000,637,15757,181,1118,85,0,Computer Science,"Inception Institute of Artificial Intelligence, United Arab Emirates",,1110.0,138,216,32,71
188,Jian,Shen,55964982500,280,4785,0,353,73,0,Computer Science,"Nanjing University of Information Science & Technology, China Mainland",,448.0,111,57,13,40
189,Xuemin (Sherman),Shen,7402721166,1461,33555,49,897,100,0,Computer Science,"University of Waterloo, Canada",,741.0,257,144,33,106
190,Peng,Shi,36748941200,1417,31784,2,840,100,0,Computer Science,"University of Adelaide, Australia","Victoria University, Australia",825.0,202,237,32,138
191,Hongye,Su,7401459370,865,12124,1,504,79,0,Computer Science,"Zhejiang University, China Mainland",,748.0,221,102,29,66
192,P. N.,Suganthan,7003996538,460,23431,15,368,36,0,Computer Science,"Nanyang Technological University, Singapore","Nanyang Technological University & National Institute of Education (NIE) Singapore, Singapore",3590.0,160,54,29,88
193,Xingming,Sun,8439524300,389,7371,3,447,50,0,Computer Science,"Nanjing University of Information Science & Technology, China Mainland",,966.0,165,39,21,49
194,Dacheng,Tao,7102600334,870,33928,0,1313,100,0,Computer Science,"University of Sydney, Australia",,1307.0,184,36,20,120
195,Shaocheng,Tong,56496204400,481,12142,0,201,15,0,Computer Science,"Liaoning University of Technology, China Mainland",,562.0,106,38,32,97
196,Athanasios V.,Vasilakos,57200495061,801,29258,17,1571,100,0,Computer Science,"University of Technology Sydney, Australia","King Saud University, Saudi Arabia",1070.0,295,47,34,108
197,Jiafu,Wan,24333732700,189,9060,4,260,55,0,Computer Science,"South China University of Technology, China Mainland",,797.0,92,27,15,53
198,Cheng-Xiang,Wang,9941461600,433,9364,42,557,62,0,Computer Science,"Southeast University - China, China Mainland","Heriot Watt University, United Kingdom",1625.0,125,86,24,54
199,Jian-Qiang,Wang,56132836000,328,5308,0,158,26,0,Computer Science,"Central South University, China Mainland",,268.0,82,71,23,64
200,Jing,Wang,56008058700,145,1685,0,96,19,1,Computer Science,"Central South University, China Mainland","Central South University of Forestry & Technology, China Mainland",370.0,81,16,25,16
201,Zidong,Wang,55810114200,824,21800,0,347,65,0,Computer Science,"Brunel University, United Kingdom",,1540.0,175,71,28,125
202,Qinglai,Wei,23092563300,269,3437,0,171,13,0,Computer Science,"Chinese Academy of Sciences, China Mainland",,407.0,77,55,17,48
203,Ligang,Wu,55505897200,417,11194,2,231,45,0,Computer Science,"Harbin Institute of Technology, China Mainland",,585.0,107,68,17,76
204,Zheng-Guang,Wu,24466004700,268,7271,1,169,24,0,Computer Science,"Zhejiang University, China Mainland",,509.0,63,59,16,64
205,Meimei,Xia,27968229400,63,3505,0,25,8,0,Computer Science,"Beijing Jiaotong University, China Mainland",,1217.0,36,8,13,31
206,Bin,Xu,57191205532,166,2929,2,237,31,0,Computer Science,"Northwestern Polytechnical University, China Mainland",,282.0,79,62,18,35
207,Zeshui,Xu,55502698400,889,15656,3,395,47,0,Computer Science,"Sichuan University, China Mainland",,1912.0,123,289,23,117
208,Laurence T.,Yang,7406280812,930,12627,0,1574,100,0,Computer Science,"Saint Francis Xavier University - Canada, Canada",,638.0,298,7,26,68
209,Xin-She,Yang,35754063200,364,21420,16,607,36,0,Computer Science,"Middlesex University, United Kingdom",,4974.0,171,20,30,73
210,Yi,Yang,56159216600,314,13128,3,409,46,0,Computer Science,"University of Technology Sydney, Australia",,1067.0,78,70,17,79
211,Yiyu,Yao,7403567566,364,8452,0,247,12,0,Computer Science,"University of Regina, Canada",,856.0,112,1,35,68
212,F. Richard,Yu,57213980384,735,14871,3,642,77,0,Computer Science,"Carleton University, Canada",,531.0,173,161,22,75
213,Yong,Zeng,36976852800,124,6149,59,99,11,0,Computer Science,"Southeast University - China, China Mainland",,1951.0,51,37,12,42
214,Zhigang,Zeng,35316687300,362,6283,0,233,46,0,Computer Science,"Huazhong University of Science & Technology, China Mainland",,411.0,104,47,20,62
215,Haijun,Zhang,57189345966,297,5667,18,432,64,0,Computer Science,"University of Science & Technology Beijing, China Mainland",,633.0,93,90,13,40
216,Hong-yu,Zhang,36601805500,119,3501,0,83,20,0,Computer Science,"Central South University, China Mainland",,268.0,54,20,15,50
217,Huaguang,Zhang,56122851800,1151,15227,3,545,66,0,Computer Science,"Northeastern University - China, China Mainland",,662.0,210,242,34,78
218,Qingfu,Zhang,7406718367,290,11627,25,332,23,0,Computer Science,"City University of Hong Kong, Hong Kong",,5075.0,105,59,27,55
219,Rui,Zhang,55729156200,502,22359,163,269,29,0,Computer Science,"National University of Singapore, Singapore",,2029.0,91,105,29,107
220,Yin,Zhang,55975581400,153,446,1,93,26,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",,145.0,29,56,11,14
221,Quan,Zou,23391564900,355,5968,9,574,56,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",,481.0,135,132,15,63
222,Yici,Cai,7401750332,388,2236,1,244,13,0,Computer Science,"Tsinghua University, China Mainland",,284.0,97,7,27,24
223,Jianhua,Feng,7403884576,189,3577,0,166,16,0,Computer Science,"Tsinghua University, China Mainland",,385.0,52,7,22,38
224,Ling,Feng,57209023943,180,1545,3,147,17,0,Computer Science,"Tsinghua University, China Mainland",,125.0,98,16,24,25
225,Guoliang,Li,55800543300,279,4128,15,303,34,0,Computer Science,"Tsinghua University, China Mainland",,328.0,54,67,17,48
226,Juanzi,Li,8304332600,286,5302,39,351,20,0,Computer Science,"Tsinghua University, China Mainland",,1293.0,101,30,23,36
227,Jie,Tang,26667745200,403,9681,72,725,53,0,Computer Science,"Tsinghua University, China Mainland",,1293.0,139,53,24,56
228,Jianyong,Wang,57208873256,151,7537,10,156,12,0,Computer Science,"Tsinghua University, China Mainland",,1362.0,72,18,25,39
229,Yongwei,Wu,8417507400,175,1608,1,263,19,0,Computer Science,"Tsinghua University, China Mainland",,109.0,88,6,19,24
230,Wenwu,Zhu,7404232311,377,9397,48,481,53,0,Computer Science,"Tsinghua University, China Mainland",,1446.0,125,54,32,54
231,Peng,Cui,34568700100,185,5036,53,304,37,0,Computer Science,"Tsinghua University, China Mainland",,1446.0,72,50,16,38
232,Maosong,Sun,7403180987,292,7709,121,344,0,0,Computer Science,"Tsinghua University, China Mainland",,1352.0,123,69,25,48
233,Jun,Zhu,56734692500,215,4835,135,250,46,0,Computer Science,"Tsinghua University, China Mainland",,639.0,89,44,17,41
234,Zhiyuan,Liu,57191691341,193,6943,135,292,27,0,Computer Science,"Tsinghua University, China Mainland",,1352.0,93,75,14,45
235,Jianping,Wu,7409251457,747,4444,4,594,65,0,Computer Science,"Tsinghua University, China Mainland",,104.0,266,39,27,34
236,Mingsheng,Long,36986782000,84,5379,47,82,10,0,Computer Science,"Tsinghua University, China Mainland",,1735.0,34,25,12,37
